,dataset,adaboost,ann,decision tree,knn,linearSVM,logistic regression,random forrest
22,ECGFiveDays,0.418118466899,0.418118466899,0.445993031359,0.450638792102,0.451800232288,0.416957026713,0.443670150987
23,ElectricDevices,0.278563091687,0.324860588769,0.351575671119,0.507197510051,0.419919595383,0.345739852159,0.410582285047
24,FaceAll,0.0467455621302,0.128402366864,0.0828402366864,0.115384615385,0.148520710059,0.14674556213,0.101183431953
25,FaceFour,0.181818181818,0.25,0.215909090909,0.204545454545,0.215909090909,0.204545454545,0.204545454545
26,FacesUCR,0.134146341463,0.0853658536585,0.0770731707317,0.0868292682927,0.11756097561,0.0829268292683,0.0834146341463
27,FISH,0.171428571429,0.24,0.182857142857,0.297142857143,0.285714285714,0.245714285714,0.194285714286
28,FordA,0.582060538739,0.571230213829,0.555401277423,0.565676201055,0.613996112191,0.599833379617,0.576784226604
29,FordB,0.508525852585,0.502475247525,0.506875687569,0.504400440044,0.528052805281,0.52200220022,0.510726072607
30,Gun_Point,0.48,0.48,0.486666666667,0.493333333333,0.533333333333,0.48,0.526666666667
31,Ham,0.580952380952,0.561904761905,0.485714285714,0.552380952381,0.552380952381,0.552380952381,0.571428571429
32,HandOutlines,0.563,0.586,0.545,0.569,0.632,0.62,0.537
33,Haptics,0.230519480519,0.185064935065,0.194805194805,0.211038961039,0.220779220779,0.211038961039,0.181818181818
34,Herring,0.578125,0.578125,0.65625,0.578125,0.578125,0.5625,0.5625
35,InlineSkate,0.16,0.190909090909,0.161818181818,0.158181818182,0.194545454545,0.190909090909,0.16
36,InsectWingbeatSound,0.0888888888889,0.0772727272727,0.0752525252525,0.0757575757576,0.0732323232323,0.0656565656566,0.0752525252525
